PDB,fold
1A22,2
1A4Y,2
1ACB,0
1AHW,1
1AK4,1
1AO7,2
1B2S,3
1B2U,3
1B3S,3
1B41,0
1BD2,2
1BJ1,1
1BP3,0
1BRS,3
1C1Y,0
1C4Z,3
1CBW,0
1CHO,0
1CSE,0
1CSO,0
1CT0,0
1CT2,0
1CT4,0
1CZ8,1
1DAN,0
1DQJ,1
1DVF,1
1E50,0
1E96,2
1EAW,0
1EFN,1
1EMV,2
1F47,2
1F5R,0
1FC2,1
1FCC,2
1FFW,1
1FR2,2
1FSS,0
1FY8,0
1GC1,0
1GCQ,2
1GL0,0
1GL1,0
1GRN,0
1GUA,0
1H9D,0
1HE8,0
1IAR,1
1JCK,0
1JRH,1
1JTD,2
1JTG,2
1K8R,1
1KAC,2
1KIP,1
1KIQ,1
1KIR,1
1KNE,3
1KTZ,0
1LFD,2
1LP9,2
1M9E,1
1MAH,1
1MHP,1
1MI5,1
1MLC,1
1MQ8,1
1N8O,0
1N8Z,1
1NCA,1
1NMB,1
1OGA,2
1OHZ,2
1P69,2
1P6A,2
1PPF,0
1QAB,2
1QSE,2
1R0R,0
1REW,0
1S0W,2
1S1Q,0
1SBB,1
1SBN,0
1SGD,0
1SGE,0
1SGN,0
1SGP,0
1SGQ,0
1SGY,0
1SIB,0
1SMF,0
1TM1,0
1TM3,0
1TM4,0
1TM5,0
1TM7,0
1TMG,0
1TO1,0
1U7F,2
1UUZ,1
1VFB,1
1WQJ,0
1X1W,3
1X1X,3
1XD3,2
1XGP,1
1XGQ,1
1XGR,1
1XGT,1
1XGU,1
1XXM,2
1Y1K,0
1Y33,0
1Y34,0
1Y3B,0
1Y3C,0
1Y3D,0
1Y48,0
1Y4A,0
1YCS,0
1YQV,2
1YY9,1
1Z7X,1
2A9K,1
2ABZ,0
2AJF,1
2AK4,2
2AW2,2
2B0U,1
2B0Z,1
2B10,1
2B11,1
2B12,1
2B2X,1
2B42,1
2BDN,1
2BNQ,1
2BNR,1
2BTF,0
2C0L,0
2C5D,0
2CCL,2
2DSQ,0
2DVW,0
2E7L,2
2FTL,0
2G2U,2
2G2W,2
2GOX,3
2GYK,2
2HLE,0
2HRK,0
2I26,1
2J0T,2
2J12,0
2J1K,0
2J8U,2
2JCC,2
2JEL,1
2KSO,0
2NOJ,3
2NU0,0
2NU1,0
2NU2,0
2NU4,0
2NY7,0
2NYY,1
2NZ9,1
2O3B,2
2OI9,2
2OOB,1
2P5E,1
2PCB,1
2PCC,1
2PYE,1
2QJ9,0
2QJA,0
2QJB,0
2REX,2
2SGP,0
2SGQ,0
2SIC,0
2UWE,2
2VIR,1
2VIS,1
2VLN,2
2VLO,2
2VLP,2
2VLQ,2
2VLR,2
2VN5,2
2WPT,1
3AAA,1
3B4V,1
3BDY,1
3BE1,1
3BK3,0
3BN9,1
3BP8,0
3BT1,2
3BTD,0
3BTE,0
3BTF,0
3BTG,0
3BTH,0
3BTM,0
3BTQ,0
3BTT,0
3BTW,0
3BX1,0
3C60,2
3D3V,2
3D5R,3
3D5S,3
3EG5,0
3EQS,2
3EQY,2
3F1S,0
3G6D,1
3H9S,2
3HFM,1
3HG1,2
3HH2,1
3IDX,0
3KBH,1
3KUD,2
3L5X,1
3LB6,1
3LNZ,2
3LZF,1
3M62,1
3M63,1
3MZG,1
3MZW,0
3N06,1
3N0P,1
3N4I,2
3N85,1
3NCB,1
3NCC,1
3NGB,1
3NPS,1
3NVN,2
3NVQ,1
3PWP,2
3Q3J,1
3Q8D,1
3QDG,2
3QDJ,2
3QFJ,2
3QHY,2
3QIB,2
3R9A,0
3RF3,0
3S9D,1
3SE3,1
3SE4,0
3SE4,1
3SE8,1
3SE9,1
3SEK,2
3SF4,2
3SGB,0
3SZK,1
3TGK,0
3U82,1
3UIG,0
3UIH,1
3UII,0
3VR6,0
3W2D,1
3WWN,0
4B0M,1
4BFI,2
4CPA,2
4CVW,1
4E6K,1
4EKD,2
4FTV,2
4FZA,0
4G0N,2
4G2V,2
4GNK,1
4GU0,0
4GXU,1
4HFK,0
4HRN,1
4HSA,1
4I77,1
4J2L,0
4JEU,1
4JFD,2
4JFE,2
4JFF,2
4JGH,0
4JPK,1
4K71,2
4KRL,1
4KRO,1
4KRP,1
4L0P,0
4L3E,2
4LRX,1
4MNQ,2
4MYW,2
4N8V,0
4NKQ,0
4NM8,1
4NZW,0
4O27,0
4OFY,2
4OZG,2
4P23,2
4P5T,2
4PWX,0
4RA0,0
4RS1,2
4U6H,1
4UYP,2
4UYQ,2
4WND,2
4X4M,1
4Y61,1
4YEB,0
4YFD,0
4YH7,0
4ZS6,1
5C6T,1
5CXB,3
5CYK,3
5E6P,0
5E9D,2
5F4E,0
5K39,2
5M2O,1
5TAR,0
5UFE,1
5UFQ,1
5XCO,2
