PDB,fold
1A22,0
1A4Y,0
1ACB,2
1AHW,2
1AK4,2
1AO7,1
1B2S,0
1B2U,0
1B3S,1
1B41,1
1BD2,1
1BJ1,1
1BP3,2
1BRS,2
1C1Y,0
1C4Z,1
1CBW,1
1CHO,2
1CSE,1
1CSO,2
1CT0,2
1CT2,2
1CT4,0
1CZ8,2
1DAN,1
1DQJ,1
1DVF,2
1E50,0
1E96,1
1EAW,0
1EFN,0
1EMV,0
1F47,1
1F5R,0
1FC2,1
1FCC,2
1FFW,1
1FR2,2
1FSS,0
1FY8,0
1GC1,1
1GCQ,2
1GL0,0
1GL1,0
1GRN,2
1GUA,1
1H9D,0
1HE8,1
1IAR,0
1JCK,1
1JRH,1
1JTD,0
1JTG,2
1K8R,2
1KAC,2
1KIP,0
1KIQ,0
1KIR,2
1KNE,0
1KTZ,0
1LFD,0
1LP9,1
1M9E,0
1MAH,0
1MHP,0
1MI5,1
1MLC,2
1MQ8,1
1N8O,2
1N8Z,2
1NCA,0
1NMB,0
1OGA,2
1OHZ,0
1P69,1
1P6A,1
1PPF,0
1QAB,2
1QSE,2
1R0R,0
1REW,1
1S0W,0
1S1Q,0
1SBB,1
1SBN,2
1SGD,0
1SGE,2
1SGN,0
1SGP,1
1SGQ,1
1SGY,2
1SIB,2
1SMF,1
1TM1,0
1TM3,2
1TM4,1
1TM5,1
1TM7,0
1TMG,1
1TO1,1
1U7F,2
1UUZ,2
1VFB,1
1WQJ,2
1X1W,2
1X1X,1
1XD3,1
1XGP,2
1XGQ,0
1XGR,1
1XGT,2
1XGU,1
1XXM,1
1Y1K,2
1Y33,2
1Y34,1
1Y3B,2
1Y3C,0
1Y3D,2
1Y48,0
1Y4A,2
1YCS,2
1YQV,2
1YY9,2
1Z7X,2
2A9K,0
2ABZ,0
2AJF,1
2AK4,1
2AW2,1
2B0U,1
2B0Z,2
2B10,0
2B11,0
2B12,2
2B2X,1
2B42,2
2BDN,1
2BNQ,1
2BNR,0
2BTF,0
2C0L,2
2C5D,0
2C5D,2
2CCL,0
2DSQ,2
2DVW,1
2E7L,1
2FTL,1
2G2U,0
2G2W,2
2GOX,2
2GYK,0
2HLE,1
2HRK,1
2I26,0
2J0T,1
2J12,2
2J1K,1
2J8U,1
2JCC,0
2JEL,0
2KSO,2
2NOJ,1
2NU0,2
2NU1,1
2NU2,1
2NU4,1
2NY7,2
2NYY,0
2NZ9,2
2O3B,2
2OI9,2
2OOB,1
2P5E,2
2PCB,2
2PCC,1
2PYE,2
2QJ9,2
2QJA,1
2QJB,0
2REX,1
2SGP,2
2SGQ,1
2SIC,0
2UWE,0
2VIR,2
2VIS,2
2VLN,1
2VLO,1
2VLP,2
2VLQ,0
2VLR,1
2VN5,2
2WPT,2
3AAA,0
3B4V,1
3BDY,0
3BE1,1
3BK3,1
3BN9,2
3BP8,1
3BT1,1
3BTD,2
3BTE,1
3BTF,0
3BTG,1
3BTH,2
3BTM,2
3BTQ,0
3BTT,1
3BTW,0
3BX1,0
3C60,2
3D3V,1
3D5R,1
3D5S,2
3EG5,2
3EQS,2
3EQY,2
3F1S,0
3G6D,2
3H9S,0
3HFM,0
3HG1,1
3HH2,0
3IDX,1
3KBH,0
3KUD,2
3L5X,1
3LB6,0
3LNZ,1
3LZF,1
3M62,0
3M63,2
3MZG,1
3MZW,1
3N06,0
3N0P,1
3N4I,2
3N85,0
3NCB,0
3NCC,0
3NGB,1
3NPS,1
3NVN,2
3NVQ,1
3PWP,2
3Q3J,0
3Q8D,1
3QDG,1
3QDJ,2
3QFJ,2
3QHY,2
3QIB,0
3R9A,2
3RF3,1
3S9D,0
3SE3,0
3SE4,0
3SE8,1
3SE9,1
3SEK,0
3SF4,0
3SGB,1
3SZK,1
3TGK,1
3U82,1
3UIG,0
3UIH,2
3UII,1
3VR6,0
3W2D,0
3WWN,1
4B0M,2
4BFI,0
4CPA,0
4CVW,2
4E6K,2
4EKD,0
4FTV,2
4FZA,2
4G0N,2
4G2V,1
4GNK,1
4GU0,2
4GXU,0
4HFK,2
4HRN,0
4HSA,1
4I77,0
4J2L,0
4JEU,2
4JFD,2
4JFE,0
4JFF,0
4JGH,0
4JPK,0
4K71,1
4KRL,2
4KRO,0
4KRP,1
4L0P,1
4L3E,2
4LRX,2
4MNQ,1
4MYW,0
4N8V,2
4NKQ,1
4NM8,0
4NZW,0
4O27,2
4OFY,0
4OZG,0
4P23,2
4P5T,1
4PWX,0
4RA0,2
4RS1,0
4U6H,2
4UYP,0
4UYQ,2
4WND,2
4X4M,1
4Y61,0
4YEB,0
4YFD,0
4YH7,2
4ZS6,0
5C6T,2
5CXB,1
5CYK,0
5E6P,1
5E9D,0
5F4E,1
5K39,1
5M2O,0
5TAR,2
5UFE,0
5UFQ,1
5XCO,1
